model,memory_dim,order,switch,phase_filter,prior,n_files,mean_n_used,info_mean_bits,info_std_bits,info_se_bits,info_mean_nats,info_std_nats,tv_mean
L,8,AB,25,1,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.2703592416932005
L,8,AB,25,1,uniform,10,9200.0,0.17173104003813985,0.1456589016694967,0.0460613890754112,0.11903488621706373,0.10096305701566993,0.2703592416932005
L,8,BA,30,1,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.3378286823897634
L,8,BA,30,1,uniform,10,8200.0,0.21346905511255612,0.10197992982581507,0.0322488853873714,0.14796547368806384,0.07068710083246478,0.3378286823897634
I,8,AB,25,1,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.0
I,8,AB,25,1,uniform,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.0
I,8,BA,30,1,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.0
I,8,BA,30,1,uniform,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,8,AB,25,1,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,8,AB,25,1,uniform,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,8,BA,30,1,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,8,BA,30,1,uniform,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,16,AB,25,1,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,16,AB,25,1,uniform,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,16,BA,30,1,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,16,BA,30,1,uniform,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,32,AB,25,1,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,32,AB,25,1,uniform,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,32,BA,30,1,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,32,BA,30,1,uniform,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,64,AB,25,1,empirical,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,64,AB,25,1,uniform,10,9200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,64,BA,30,1,empirical,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.0
M,64,BA,30,1,uniform,10,8200.0,0.0,0.0,0.0,0.0,0.0,0.0
